CodEscolasAtendidas,Ano,UF,Municipio,EsferaGoverno,QtdEscolasAtendidas
2154865,2018,AC,ACRELANDIA,ADMINISTRAÇÃO,5
2154866,2018,AC,ACRELANDIA,ADMINISTRAÇÃO,9
2154867,2018,AC,ASSIS BRASIL,ADMINISTRAÇÃO,29
2154868,2018,AC,ASSIS BRASIL,ADMINISTRAÇÃO,37
2154869,2018,AC,BRASILEIA,ADMINISTRAÇÃO,5
2154870,2018,AC,BRASILEIA,ADMINISTRAÇÃO,53
2154871,2018,AC,BUJARI,ADMINISTRAÇÃO,19
2154872,2018,AC,BUJARI,ADMINISTRAÇÃO,15
2154873,2018,AC,CAPIXABA,ADMINISTRAÇÃO,3
2154874,2018,AC,CAPIXABA,ADMINISTRAÇÃO,14
2154875,2018,AC,CRUZEIRO DO SUL,ADMINISTRAÇÃO,67
2154876,2018,AC,CRUZEIRO DO SUL,ADMINISTRAÇÃO,107
2154877,2018,AC,CRUZEIRO DO SUL,PARTICULAR,1
2154878,2018,AC,EPITACIOLANDIA,ADMINISTRAÇÃO,4
2154879,2018,AC,EPITACIOLANDIA,ADMINISTRAÇÃO,18
2154880,2018,AC,FEIJO,ADMINISTRAÇÃO,51
2154881,2018,AC,FEIJO,ADMINISTRAÇÃO,92
2154882,2018,AC,JORDAO,ADMINISTRAÇÃO,7
2154883,2018,AC,JORDAO,ADMINISTRAÇÃO,65
2154884,2018,AC,MANCIO LIMA,ADMINISTRAÇÃO,13
2154885,2018,AC,MANCIO LIMA,ADMINISTRAÇÃO,36
2154886,2018,AC,MANOEL URBANO,ADMINISTRAÇÃO,8
2154887,2018,AC,MANOEL URBANO,ADMINISTRAÇÃO,26
2154888,2018,AC,MARECHAL THAUMATURGO,ADMINISTRAÇÃO,8
2154889,2018,AC,MARECHAL THAUMATURGO,ADMINISTRAÇÃO,68
2154890,2018,AC,PLACIDO DE CASTRO,ADMINISTRAÇÃO,10
2154891,2018,AC,PLACIDO DE CASTRO,ADMINISTRAÇÃO,15
2154892,2018,AC,PORTO ACRE,ADMINISTRAÇÃO,13
2154893,2018,AC,PORTO ACRE,ADMINISTRAÇÃO,19
2154894,2018,AC,PORTO WALTER,ADMINISTRAÇÃO,10
2154895,2018,AC,PORTO WALTER,ADMINISTRAÇÃO,36
2154896,2018,AC,RIO BRANCO,ADMINISTRAÇÃO,159
2154897,2018,AC,RIO BRANCO,ADMINISTRAÇÃO,83
2154898,2018,AC,RIO BRANCO,PARTICULAR,2
2154899,2018,AC,RODRIGUES ALVES,ADMINISTRAÇÃO,16
2154900,2018,AC,RODRIGUES ALVES,ADMINISTRAÇÃO,51
2154901,2018,AC,SANTA ROSA DO PURUS,ADMINISTRAÇÃO,15
2154902,2018,AC,SANTA ROSA DO PURUS,ADMINISTRAÇÃO,48
2154903,2018,AC,SENA MADUREIRA,ADMINISTRAÇÃO,72
2154904,2018,AC,SENA MADUREIRA,ADMINISTRAÇÃO,80
2154905,2018,AC,SENADOR GUIOMARD,ADMINISTRAÇÃO,19
2154906,2018,AC,SENADOR GUIOMARD,ADMINISTRAÇÃO,13
2154907,2018,AC,SENADOR GUIOMARD,PARTICULAR,1
2154908,2018,AC,TARAUACA,ADMINISTRAÇÃO,48
2154909,2018,AC,TARAUACA,ADMINISTRAÇÃO,46
2154910,2018,AC,XAPURI,ADMINISTRAÇÃO,34
2154911,2018,AC,XAPURI,ADMINISTRAÇÃO,25
2154912,2018,AL,AGUA BRANCA,ADMINISTRAÇÃO,2
2154913,2018,AL,AGUA BRANCA,ADMINISTRAÇÃO,10
2154914,2018,AL,ANADIA,ADMINISTRAÇÃO,1
2154915,2018,AL,ANADIA,ADMINISTRAÇÃO,18
2154916,2018,AL,ARAPIRACA,ADMINISTRAÇÃO,16
2154917,2018,AL,ARAPIRACA,ADMINISTRAÇÃO,86
2154918,2018,AL,ARAPIRACA,PARTICULAR,1
2154919,2018,AL,ATALAIA,ADMINISTRAÇÃO,1
2154920,2018,AL,ATALAIA,ADMINISTRAÇÃO,30
2154921,2018,AL,BARRA DE SANTO ANTONIO,ADMINISTRAÇÃO,1
2154922,2018,AL,BARRA DE SANTO ANTONIO,ADMINISTRAÇÃO,10
2154923,2018,AL,BARRA DE SAO MIGUEL,ADMINISTRAÇÃO,1
2154924,2018,AL,BARRA DE SAO MIGUEL,ADMINISTRAÇÃO,10
2154925,2018,AL,BATALHA,ADMINISTRAÇÃO,2
2154926,2018,AL,BATALHA,ADMINISTRAÇÃO,20
2154927,2018,AL,BELEM,ADMINISTRAÇÃO,1
2154928,2018,AL,BELEM,ADMINISTRAÇÃO,13
2154929,2018,AL,BELO MONTE,ADMINISTRAÇÃO,1
2154930,2018,AL,BELO MONTE,ADMINISTRAÇÃO,14
2154931,2018,AL,BOCA DA MATA,ADMINISTRAÇÃO,1
2154932,2018,AL,BOCA DA MATA,ADMINISTRAÇÃO,12
2154933,2018,AL,BOCA DA MATA,PARTICULAR,1
2154934,2018,AL,BRANQUINHA,ADMINISTRAÇÃO,1
2154935,2018,AL,BRANQUINHA,ADMINISTRAÇÃO,17
2154936,2018,AL,CACIMBINHAS,ADMINISTRAÇÃO,1
2154937,2018,AL,CACIMBINHAS,ADMINISTRAÇÃO,11
2154938,2018,AL,CAJUEIRO,ADMINISTRAÇÃO,1
2154939,2018,AL,CAJUEIRO,ADMINISTRAÇÃO,19
2154940,2018,AL,CAMPESTRE,ADMINISTRAÇÃO,1
2154941,2018,AL,CAMPESTRE,ADMINISTRAÇÃO,6
2154942,2018,AL,CAMPO ALEGRE,ADMINISTRAÇÃO,2
2154943,2018,AL,CAMPO ALEGRE,ADMINISTRAÇÃO,23
2154944,2018,AL,CAMPO GRANDE,ADMINISTRAÇÃO,22
2154945,2018,AL,CANAPI,ADMINISTRAÇÃO,1
2154946,2018,AL,CANAPI,ADMINISTRAÇÃO,35
2154947,2018,AL,CAPELA,ADMINISTRAÇÃO,2
2154948,2018,AL,CAPELA,ADMINISTRAÇÃO,21
2154949,2018,AL,CARNEIROS,ADMINISTRAÇÃO,1
2154950,2018,AL,CARNEIROS,ADMINISTRAÇÃO,9
2154951,2018,AL,CHA PRETA,ADMINISTRAÇÃO,1
